categories;phrase;translation
Fraze Gramatyka;Ne volim putovati s ljudima KOJE (AKK) ne poznajem;Nie lubię podróżować z ludźmi, których nie znam
Imenice Odmor;suputnik;towarzysz podróży
Posao;automatski napravljene;automatycznie wykonane
Fraze Stvari;na dohvat ruke;w zasięgu ręki
Fraze Raspoloženje;to je najvažnije za mene;to dla mnie najważniejsze
Imenice Kuća;klimatizacija;klimatyzacja
Osobine Pridjevi;izbirljiv;wybredny
Imenice Priroda;pustinja;pustynia
Fraze Pokret;kad sam putovao širom Balkana;kiedy podróżowałem przez Bałkany
Fraze;Ma daj?;No co ty?
Posao;nešto za raditi;coś do roboty
Fraze Mjesta Prostor;u raznim gradovima;w różnych miastach
Imenice;uvod;wstęp, wprowadzenie
Konektori Vrijeme;prije;przed (czas)
Imenice Tijelo;ciklus;cykl
Glagoli Prostor;izaći iz auta;wyjść z samochodu
Posao;poboljšati;poprawić
Imenice Pokret;motor;silnik
Imenice Pokret;hibridni automobil;hybrydowy samochód
Glagoli;povećavati;powiększać
Glagoli Posao Svakidašnji;poboljšavati;poprawiać
Glagoli;povećati;powiększyć
Svakidašnji Tijelo;modrica;siniak
Imenice Pokret Svakidašnji;gepek;bagażnik
Glagoli Svakidašnji;isključiti;wyłączyć
Brojevi Fraze;jedinica, dvojka, trojka, četvorka, petica, šestica, sedmina, osmica, devetka, desetka;jedynka, dwójka, trójka, czwórka, piątka, szóstka, siódemka, ósemka, dziewiątka, dziesiątka
Glagoli;zezati;wciskać kit, żartować, robić jaja
Fraze;Nemoj me zafrkavati;Nie drocz się ze mną
Fraze;Nemoj me zajebavati;Nie pierdol
Fraze Raspoloženje;Ne mogu vjerovati!;Nie wierzę!
Glagoli Pokret;micati;poruszać
Glagoli;prešutimo;przemilczymy
Pridjevi;čitav;cały
Glagoli;popraviti;naprawić
Fraze;osjećam ljeto;czuję lato
Imenice Priroda;zaljev;zalew
Glagoli;produbiti;pogłębić
Imenice Stvari;zapornica;śluza
Imenice Stvari;brana;tama
Imenice Stvari;lukobran;falochron
Imenice Stvari;svjetionik;latarnia
Imenice Stvari;jedro;żagiel
Imenice Stvari;povodac;smycz
Imenice Životinje;pudl;pudel
Glagoli;peglati;prasować
Prilozi Prostor;gore;w górę
Glagoli Kuća Posao;iznajmljivati;wynajmować (komuś)
Glagoli Kuća Svakidašnji;unajmljivati;wynająć (od kogoś)
Glagoli;koristiti;używać
Fraze Prostor;u svim glavnim gradovima;we wszystkich głównych miastach
Škola;obrana diplomskog rada;obrona pracy dyplomowej
Obitelj Svakidašnji;zaruke;zaręczyny
Glagoli Obitelj;zaručiti se;zaręczyć się
Fraze Raspoloženje;dobiti na lotu;wygrać w lotka
Imenice Stvari;srećka;zdrapka
Prilozi;bar;przynajmniej
Fraze;Zajebavaš;Robisz sobie jaja? (wulg.)
Fraze Svakidašnji;Ma daj!;No co ty! / No weź!
Brojevi;barem;przynajmniej
Imenice Stvari;vrećica;torebka / reklamówka
Imenice Stvari;vreća;worek
Glagoli;potrošiti;wydać, zużyć
Gramatyka;22 eura 35 centi (centa);22 euro i 35 centów
Prilozi Vrijeme;konačno;wreszcie, ostatecznie
Glagoli;pretjerivati;przesadzać
Čestice;pa da;no tak
Fraze;skidam kapu;czapki z głów
Glagoli;rasturati;wymiatać
Glagoli;rasturiti;wymieść
Imenice Stvari;veza;zasięg
Fraze Raspoloženje;Danas ja častim;Dzisiaj ja stawiam
Fraze Odjeće;raskomotite se;rozbierzcie się
Fraze Stvari;Veza je jako loša;Zasięg jest bardzo słaby
Glagoli Raspoloženje;čestitam;gratuluję
Fraze Raspoloženje;svaka čast;dobra robota
Glagoli Hrana;počastiti;poczęstować
Prilozi Vrijeme;stalno;wciąż (ciągle, powtarza się)
Prilozi Vrijeme;još uvijek;wciąż (długo trwa)
Imenice Stvari;seansa;seans
Hobi Pridjevi;snimljen;nakręcony
Imenice;tjelohranitelj;ochroniarz
Hobi Imenice;gluma;gra aktorska
Fraze Stvari;Smrtonosno oružje;Zabójcza broń
Fraze Hobi Posao;filmski stručnjak;filmoznawca
Prilozi;amaterski;amatorsko
Imenice Posao Svakidašnji;para;pieniądze, kasa
Glagoli Svakidašnji;slutiti;wyobrazić sobie, domyśleć się
Fraze Tijelo;idem k liječniku;idę do lekarza
Imenice Stvari;klupa;ławka
Fraze Kuća Prostor;ispred kuće;przed domem
Kuća Prostor;nad stolom;nad stołem
Fraze Vrijeme;u studenom;w listopadzie
Prostor;iznad zgrada;nad budynkami
Svakidašnji;protiv nje;przeciw niej
Obitelj Svakidašnji;otrčati u zagrljaj;pobiec w objęcia
Imenice Stvari;prigoda;okazja
Imenice Raspoloženje;ponos;duma
Imenice Nacije Stvari;zastava;flaga
Imenice;gradonačelnik;prezydent miasta
Imenice Stvari;pozornica;scena
Imenice Raspoloženje;tuga;smutek
Imenice Raspoloženje;sreća;szczęście
Imenice Raspoloženje;zagrljaj;uścisk
Hobi Imenice;nastup;występ
Glagoli Hrana Trgovina;naručivati;zamawiać
Glagoli Pokret;bježati;uciekać
Konektori Čestice;iako;chociaż, mimo że
Glagoli Pokret;oteti;porwać, wyrwać
Prilozi Vrijeme;gotovo;prawie
Glagoli;prirediti;przygotować
Glagoli;presuditi;przesądzić
Glagoli Pokret;popeti se;wspiąć się
Glagoli;otkriti;ujawnić
Osobine Pridjevi Raspoloženje;samozatajan;skryty
Imenice Obitelj Svakidašnji;klinac;dzieciak, podlotek
Pokret Sport;savladati pokrete;opanować ruchy
Glagoli Raspoloženje;gnjaviti;męczyć, dokuczać komuś
Svakidašnji;čuti za to;słyszeć o tym
Imenice;sudac;sędzia
Prilozi Vrijeme;ujedno;równocześnie
Imenice Osobine;pomama;szaleństwo, mania
Hobi Pridjevi;operni;operowy
Fraze;umaći / umaknuti za dlaku, pobjeći za dlaku;wygrać o włos
Imenice Stvari;riješenje;rozwiązanie
Fraze;Bio sam kod liječnika. (genitiv);Byłem u lekarza.
Fraze;Išao sam (k) liječniku.;Poszedłem do lekarza.
Tijelo;krvožilni sustav;układ krwionośny
Imenice Nacije;stranac;obcokrajowiec
Imenice;stranka;partia
Imenice Vrijeme;finale;finał
Higijena Imenice Škola;kemija;chemia
Imenice Svakidašnji;kaos;chaos
Imenice Odmor Posao;cjenik;cennik
Fraze;cjenik za domaće;cennik dla lokalsów
Fraze;Zaboravio sam KAKO se to kaže na hrvatskom.;Zapomniałem JAK się to mówi po chorwacku.
Fraze Raspoloženje;On izgleda KAO John Travolta.;On wygląda JAK John Travolta.
Fraze Sport;Za koga si navijao?;Komu dopingowałeś?
Imenice Kuća Stvari;tegla;słoik
Imenice;znanstvenik / znanstvenica;naukowiec / naukowczyni
Glagoli Sport;utrkivati se;ścigać się
Imenice;uprava;zarząd
Fraze Gramatyka;Ne moram raditi stvari KOJE ne volim.;Nie muszę robić rzeczy, których nie lubię.
Imenice Tijelo;tetovaža;tatuaż
Hrana Imenice;grožđice;rodzynki
Glagoli Svakidašnji;usrećiti;uszczęśliwić
Imenice Stvari;pitance;pytanko
Prilozi;očito;najwyraźniej
Fraze Vrijeme;Volim ljetne mjesece.;Lubię letnie miesiące.
Odjeće Pridjevi;ispeglan;wyprasowany
Glagoli;ispeglati;wyprasować, polepszyć np. sytuację
Odjeće Pridjevi;zgužvan;wygnieciony
Glagoli Tijelo;suziti;łzawić
Vrijeme;posljednje tri godine;poprzednie trzy lata
Posao;vladini novac;rządowe pieniądze
Glagoli;prijaviti;zgłosić
Brojevi Fraze;tisuću devetsto pedeset treće;1953
Imenice Vrijeme;razdoblje / period;okres, era
Hobi Imenice;crtić;kreskówka
Hobi;crtani film;film animowany
Imenice Raspoloženje;htijenje;chęć, pragnienie
Fraze Vrijeme;u pedesetim godinama;w latach pięćdziesiątych
Fraze Hobi;ovi likovi koji su u ovom filmu;te postaci, które są w tym filmie
Fraze Raspoloženje;ne ponašaju se kao ljudi;nie zachowują się jak ludzie
Hobi;Osvetnici;Avengers, Mściciele
Imenice Stvari;završnica;zakończenie
Glagoli Posao;objavljivati;publikować
Fraze Mjesta Prostor;u metrou;w metrze
Fraze Mjesta Nacije Prostor;u Peruu;w Peru
Hobi Posao;filmsko poduzeće;wytwórnia filmowa
Glagoli;osnovati;ufundować
Glagoli Raspoloženje;obuhvaćati;obejmować
Fraze Raspoloženje;s današnjeg gledišta;z dzisiejszego punktu widzenia
Imenice Stvari;baština;dziedzictwo
Glagoli Posao Škola;zabilježiti;odnotować
Imenice;došljak / došljakinja;przybysz, przybyszka
Svakidašnji;budno oko;czujne oko
Pridjevi;otmjen;wyśmienity
Fraze;pripremiti dobrodošlicu;zgotować powitanie
Imenice Posao;smjena;zmiana
Stvari Svakidašnji;nametnuti porez;nałożyć podatek
Fraze Posao;preuzeti posao;przyjąć posadę (+genitiv)
Glagoli;prokrijumčariti;przemycić
Fraze;ostaviti dobar dojam na koga;pozostawić na kimś dobre wrażenie
Glagoli;prouzrokovati;spowodować
Posao;zastoj u proizvodnji;wstrzymanie produkcji
Fraze;biti izvan sebe;wyjść z siebie
Fraze Stvari;mnogostruka primjena;wielofunkcyjność
Mjesta Pridjevi;ovdašnji;lokalny
Glagoli;pokušati;próbować
Pridjevi;vezan;związany
Hrana Imenice;tijesto;ciasto
Fraze Posao;završetka smjene;koniec zmiany
Stvari Svakidašnji;bio tko god;ktokolwiek
Prilozi;čak;nawet
Osobine Pridjevi;siromašan;biedny
Imenice Stvari;porez;podatek
Imenice Stvari;višak;zapas
Prilozi Vrijeme;povremeno;sporadycznie, cyklicznie, co jakiś czas
Imenice Raspoloženje;nevolja;kłopot
Pridjevi;bučan;głośny, hałaśliwy
Imenice Stvari;kazna;kara, grzywna
Prilozi Svakidašnji;malko;trochę, nieznacznie
Glagoli Odmor;odrijemati;odetchnąć, zdrzemnąć
Pridjevi;odlikovan;odznaczony
Pridjevi;nenadmašiv;niezrównany, niedościgniony
Konektori;doduše;jednakże, chociaż, aczkolwiek
Svakidašnji;ukinuti porez;zlikwidować podatek
Imenice;pustolovina;przygoda
Fraze Hobi Škola;predavanje o ovom filmu;wykład o tym filmie
Imenice Životinje;kuja;suka
Fraze Raspoloženje;najveće sranje;największe gówno
Imenice Nacije;Sovjetski Savez;Związek Sowiecki
Glagoli;obnoviti;odnowić
Hobi;ambiciozni filmovi;ambitne filmy
Fraze Hobi;poljski filmovi nisu dobri;polskie filmy nie są dobre
Fraze Raspoloženje;to se mijenja;to się zmienia
Fraze Odjeće;skockati se;odstrzelić się
Imenice Stvari;branik;zderzak
Glagoli;udariti;uderzyć
Fraze Tijelo;Sve me je peklo.;Wszystko mnie piekło.
Brojevi Fraze;deset kilometara;10 kilometrów
Fraze Pokret;biciklistička staza;ścieżka rowerowa
Fraze Pokret;Žena je vozila auto.;Kobieta jeździła autem.
Fraze;Ništa mi se nije desilo;Nic mi się nie działo
Glagoli;istući;pobić
Imenice Stvari;odbojnik;zderzak
Osobine Pridjevi;siguran;bezpieczny
Higijena Tijelo;popiti tabletu;wziąć tabletkę
Hrana Piće;energetski napitak;energol
Imenice;Paško Patak;Kaczor Donald
Imenice Stvari;sanitarna inspekcija;sanepid
Imenice Stvari;domet;zakres, zasięg
Fraze Vrijeme;tri zadnje godine;ostatnie trzy lata
Svakidašnji Vrijeme;svake godine;każdego roku
Svakidašnji Vrijeme;svaki tjedan;każdego tygodnia
Fraze;nazovi me;zadzwoń do mnie
Fraze;Javi mi se;Odezwij się do mnie
Fraze Stvari;Baci smeće!;Wyrzuć śmieci!
Glagoli Raspoloženje;zagrliti;przytulić
Fraze Hrana;Svrati na kavu!;Wpadnij na kawę!
Fraze Odmor;lumpovati / lumpati;imprezować
Imenice Stvari;alkotest;test alkomatem
Pridjevi;napušen;zjarany
Pridjevi;drogiran;naćpany
Osobine Pridjevi;trijezan;trzeźwy
Imenice Stvari;uzvik;okrzyk
Imenice Priroda;plamen;płomień
Imenice Priroda;vatra;ogień
Fraze Raspoloženje;osjećali smo;czuliśmy
Fraze Mjesta Prostor;u prvom redu;w pierwszym rzędzie
Imenice Stvari;izvedba;wykonanie
Fraze Hobi;limena glazba;orkiestra dęta
Imenice Priroda;stijena;skała
Fraze Priroda;snažan / jak vjetar;silny wiatr
Fraze Vrijeme;u proljeće;wiosną
Fraze Vrijeme;u jesen;jesienią
Fraze Vrijeme;zimi;zimą
Fraze;Spreman sam;Jestem gotowy
Fraze;Gotov sam;Jestem gotowy, ale uwaga na drugie znaczenie: <br>gotov - skończony (Gotov si!)
Fraze Raspoloženje;Gotovo je!;skończone, gotowe
Imenice Priroda;nevera;nagła burza i ulewa na wybrzeżu Adriatyku
Glagoli Tijelo Životinje;pariti se;rozmnażać, parzyć się
Fraze Raspoloženje;nema puno smisla;nie ma wiele sensu
Imenice Nacije;Mongol;Mongoł
Imenice Osobine;nasljednik;dziedzic
Boje;bronca;brąz
Fraze Raspoloženje;to nije uobičajeno;to nie jest powszechne
Fraze;kako se to zove?;jak to się nazywa?
Glagoli Tijelo;trljati;pocierać, rozmasowywać
Imenice Tijelo;palac;duży palec, kciuk
Brojevi Svakidašnji Vrijeme;četiri sata;4 godziny
Fraze Prostor Svakidašnji;blizu nje;blisko niej
Glagoli;vladati;rządzić, władać
Glagoli;ispariti;wyparować
Imenice Mjesta Odmor;toplice;termy
Hrana Imenice;sladokusac;smakosz
Hobi Imenice;ribič;wędkarz
Imenice Životinje;odojak;młode prosię
Glagoli Hobi Sport;pecati;wędkować
Imenice;jantar;bursztyn
Hrana Imenice Svakidašnji;iznutrice;podroby
Imenice Pridjevi;mladi;młodzi
Imenice Obitelj;mladoženja;pan młody
Imenice Obitelj;mladenka;panna młoda
Imenice Obitelj;mladenci;para młoda
Imenice Stvari;mogućnost;możliwość
Pridjevi;moguće;możliwe
Pridjevi;zahtjevan;wymagający
Stvari;bojni otrovi;gazy bojowe
Fraze Stvari;postoji mogućnost;istnieje możliwość
Imenice Stvari;supstanca;substancja
Glagoli;zakopati;zakopać
Glagoli Pokret Tijelo;ritati se;wierzgać, fikać
Glagoli Pokret;skitati se;tułać się
Imenice Obitelj;buraz;przyjaciel
Glagoli;urlati;drzeć się
Biljke Imenice Priroda;smrča;świerk
Imenice Stvari;pero;pióro
Imenice Stvari;krpa;ścierka
Glagoli Higijena Kuća;brisati;wycierać, ścierać, wymazać
Imenice Pokret Stvari;kombi;minibus
Imenice Pokret Stvari;karavan;samochód kombi
Imenice Pokret;kamion;ciężarówka
Imenice Stvari;kupe;przedział w wagonie
Imenice Pokret Stvari;trajekt;prom
Imenice Sport;prvak;czempion
Imenice Sport;prvenstvo;mistrzostwo
Fraze Raspoloženje;To nije moj đir;to nie moja bajka
Imenice Priroda Životinje;morski pas;rekin
Imenice Priroda Životinje;orao;orzeł
Imenice Životinje;pilić;kurczątko
Glagoli Posao Škola;truditi se;starać się
Hrana Imenice;ishrana;sposób żywienia, dieta
Imenice Stvari;iskustvo;doświadczenie
Imenice;osobni trener;trener personalny
Fraze Raspoloženje;uzrujavati se / nervirati se / živcirati / sekirati se;denerwować się
Hrana Imenice;tartufi;trufle
Hrana Imenice Životinje;kamenica;ostryga
Hrana Imenice;bučino ulje;olej dyniowy
Hrana Imenice;repičino ulje;olej rzepakowy
Hrana Imenice;laneno ulje;olej lniany
Fraze Pokret Vrijeme;Let je kasnio 40 minuta.;Lot opóźnił się o 40 minut.
Imenice Mjesta Pokret;pista;pas startowy
Glagoli;napraviti;zrobić
Fraze Pokret;na kraj reda;na koniec kolejki
Glagoli;otkazati;anulować, odwołać
Glagoli Pokret;odvesti;odwieźć do
Pridjevi;planiran;planowany
Glagoli Raspoloženje;svađati se;kłócić się
Glagoli Pokret;ukrcati;załadować
Fraze;Cijene su previsoke / astronomske / bezobrazne;Ceny są zbyt duże / astronomiczne / niewyobrażalne
Hrana Imenice;obrok;posiłek
Imenice;kapetan;kapitan
Gramatyka;1 stupanj // 2, 3, 4 stupnja // 5, 6, 7 stupnjeva;1 stopień / 2, 3, 4 stopnie / 5, 6, 7 stopni
Fraze Pokret;Kad su nas doveli na aerodrom;Kiedy dowieźli nas na lotnisko
Nacije;Turčin;Turek
Imenice Tijelo;pazuh;pacha
Hobi Imenice;sapunica;telenowela
Glagoli;sretati;spotykać
Glagoli;biti;być
Glagoli Svakidašnji;imati;mieć
Glagoli Posao;raditi;pracować
Glagoli;govoriti;mówić
Glagoli Pokret;ići;iść (nieregularny: ja idem, ti ideš, on/ona/ono ide, mi idemo, vi idete, oni/one/ona idu)
Glagoli Hrana;jesti;jeść (nieregularny: ja jedem, ti jedeš, on/ona/ono jede, mi jedemo, vi jedete, oni/one/ona jedu)
Glagoli Hrana Piće;piti;pić (nieregularny: ja pijem, ti piješ, on/ona/ono pije, mi pijemo, vi pijete, oni/one/ona piju)
Glagoli;htjeti;chcieć
Glagoli Posao Škola;znati;wiedzieć
Glagoli;moći;móc (nieregularny: ja mogu, ti možeš, on/ona/ono može, mi možemo, vi možete, oni/one/ona mogu)
Glagoli;čitati;czytać
Glagoli;nositi;nosić
Glagoli Hrana;kuhati;gotować
Glagoli;živjeti;żyć
Glagoli Odmor;spavati;spać
Glagoli Pokret Sport;hodati;chodzić
Glagoli Hobi;pjevati;śpiewać (nieregularny: ja pjevam, ti pjevaš, on/ona/ono pjeva, mi pjevamo, vi pjevate, oni/one/ona pjevaju)
Glagoli Raspoloženje Svakidašnji;smijati se;śmiać się (nieregularny: ja se smijem, ti se smiješ, on/ona/ono se smije, mi se smijemo, vi se smijete, oni/one/ona se smiju)
Glagoli Škola;sjećati se;pamiętać
Glagoli;razmišljati;myśleć
Glagoli Raspoloženje;grliti;przytulać (nieregularny: ja grlim, ti grliš, on/ona/ono grli, mi grlimo, vi grlite, oni/one/ona grle)
Glagoli Škola;naučiti;nauczyć się
Glagoli Odmor Pokret;putovati;podróżować
Glagoli Hobi Sport Tijelo;vježbati;ćwiczyć
Glagoli Posao Svakidašnji Škola;pomoći;pomóc (nieregularny: ja pomognem, ti pomogneš, on/ona/ono pomogne, mi pomognemo, vi pomognete, oni/one/ona pomognu)
Glagoli;ostati;zostać (nieregularny: ja ostanem, ti ostaneš, on/ona/ono ostane, mi ostanemo, vi ostanete, oni/one/ona ostanu)
Glagoli;odgovoriti;odpowiedzieć
Glagoli;zvati;dzwonić, nazywać (nieregularny: ja zovem, ti zoveš, on/ona/ono zove, mi zovemo, vi zovete, oni/one/ona zovu)
Glagoli Posao Svakidašnji Škola;pomagati;pomagać (nieregularny: ja pomažem, ti pomažeš, on/ona/ono pomaže, mi pomažemo, vi pomažete, oni/one/ona pomažu)
Glagoli Pokret;voziti se;jechać
Glagoli Svakidašnji;sanjati;śnić (nieregularny: ja sanjam, ti sanjaš, on/ona/ono sanja, mi sanjamo, vi sanjate, oni/one/ona sanjaju)
Glagoli;željeti;życzyć (nieregularny: ja želim, ti želiš, on/ona/ono želi, mi želimo, vi želite, oni/one/ona žele)
Glagoli;pokazati;pokazać
Glagoli;učiniti;uczynić (nieregularny: ja učinim, ti učiniš, on/ona/ono učini, mi učinimo, vi učinite, oni/one/ona učine)
Glagoli;početi;zacząć (nieregularny: ja počnem, ti počneš, on/ona/ono počne, mi počnemo, vi počnete, oni/one/ona počnu)
Glagoli;završiti;zakończyć
Glagoli Pokret;dolaziti;przychodzić (nieregularny: ja dolazim, ti dolaziš, on/ona/ono dolazi, mi dolazimo, vi dolazite, oni/one/ona dolaze)
Glagoli Kuća;pripremiti;przygotować
Glagoli Škola;pamtiti;pamiętać
Glagoli Pokret;donijeti;przynieść (nieregularny: ja donesem, ti doneseš, on/ona/ono donese, mi donesemo, vi donesete, oni/one/ona donesu)
Glagoli Svakidašnji;izgubiti;zgubić
Glagoli Škola;učiti;uczyć się
Glagoli Hobi;slušati;słuchać
Glagoli Hobi;igrati;grać, bawić się
Glagoli Raspoloženje;šutjeti;milczeć
Glagoli Škola;razumjeti;rozumieć
Glagoli Posao Škola;pisati;pisać
Glagoli Raspoloženje;voljeti;kochać, lubić
Glagoli Hobi;plesti;robić na drutach
Glagoli Raspoloženje Svakidašnji;brinuti se;martwić się
Glagoli Svakidašnji Trgovina;kupovati;kupować
Glagoli;gledati;patrzeć, oglądać
Prilozi;dobro;dobrze
Prilozi;loše;źle
Prilozi Vrijeme;često;często
Prilozi Vrijeme;rijetko;rzadko
Prilozi Vrijeme;uvijek;zawsze
Prilozi Vrijeme;nikada;nigdy
Prilozi;daleko;daleko
Prilozi;tamo;tam
Mjesta Prostor;ovdje;tutaj
Prilozi Prostor;dolje;w dół
Prilozi;naprijed;do przodu
Prilozi;natrag;do tyłu
Prilozi Prostor;unutra;wewnątrz
Prilozi Vrijeme;danas;dzisiaj
Prilozi Vrijeme;sutra;jutro
Prilozi Vrijeme;juče;wczoraj
Prilozi;puno;dużo
Prilozi;dovoljno;wystarczająco
Prilozi;lako;łatwo
Prilozi;teško;trudno
Prilozi;točno;dokładnie
Prilozi;netočno;niedokładnie
Prilozi;komplicirano;skomplikowanie
Prilozi;glatko;gładko
Prilozi;grubo;szorstko
Prilozi;ugodno;przyjemnie
Prilozi;neugodno;nieprzyjemnie
Brojevi Konektori;potpuno;całkowicie
Prilozi;djelomično;częściowo
Prilozi;tiho;cicho
Prilozi;glasno;głośno
Osobine Prilozi;ljubazno;uprzejmie
Prilozi;hrabro;odważnie
Prilozi;strašno;strasznie
Prilozi Raspoloženje;veselo;wesoło
Prilozi Raspoloženje;tužno;smutno
Prilozi Vrijeme;naglaska;nagle
Pokret Prilozi;polako;powoli
Prilozi;nježno;delikatnie
Prilozi;pametno;mądrze
Prilozi;glupo;głupio
Prilozi;iskreno;szczerze
Prilozi;lažno;fałszywie
Prilozi;neuspješno;bez sukcesu
Prilozi Prostor;doma;w domu
Fraze Prilozi;u gostima;w gościach
Prilozi;svakodnevno;codziennie
Prilozi Vrijeme;tjedno;tygodniowo
Prilozi;mjesečno;miesięcznie
Vrijeme;godišnje;rocznie
Prilozi;umjetno;sztucznie
Prilozi Vrijeme;obično;zazwyczaj
Prilozi Vrijeme;privremeno;tymczasowo
Prilozi Vrijeme;trajno;trwale
Prilozi;tajno;potajemnie
Prilozi;javnost;publicznie
Prilozi Raspoloženje;mirno;spokojnie
Prilozi;uznemireno;nerwowo
Prilozi;oprezno;ostrożnie
Prilozi;neoprezno;nieostrożnie
Prilozi;postepeno;stopniowo
Pokret Prilozi;sporo;powoli
Pokret Prilozi Vrijeme;brzo;szybko
Prilozi;stručno;fachowo
Prilozi;prirodno;naturalnie
Prilozi;kulturalno;kulturalnie
Prilozi;zanimljivo;ciekawie
Prilozi;odlučno;zdecydowanie
Prilozi;neodlučno;niezdecydowanie
Prilozi;uspješno;pomyślnie
Prilozi;bezuspješno;bezskutecznie
Prilozi;korektno;poprawnie
Prilozi;nekorektno;niepoprawnie
Prilozi;pristojno;przyzwoicie
Prilozi;nepristojno;nieprzyzwoicie
Prilozi;jasno;jasno
Prilozi;nejasno;niejasno
Imenice Kuća;kuća;dom
Imenice Mjesta;grad;miasto
Imenice Vrijeme;vrijeme;czas, pogoda
Imenice;čovjek;człowiek
Imenice;dijete;dziecko
Imenice Obitelj;prijatelj;przyjaciel
Imenice Stvari;auto;samochód
Imenice Stvari;stol;stół
Imenice;knjiga;książka
Imenice Životinje;pas;pies
Imenice Životinje;mačka;kot
Imenice Kuća;kuhinja;kuchnia
Imenice Priroda;zrak;powietrze
Imenice Priroda;sunce;słońce
Imenice Priroda;more;morze
Imenice Pokret Stvari;bicikl;rower
Imenice Vrijeme;noć;noc
Imenice Vrijeme;dan;dzień
Imenice Vrijeme;godina;rok
Imenice Mjesta;mjesto;miejsce
Imenice Obitelj;obitelj;rodzina
Imenice Stvari;novac;pieniądze
Imenice Posao;posao;praca
Imenice Odmor Pokret;putovanje;podróż
Hrana Imenice;hrana;jedzenie
Hrana Imenice;piće;picie
Imenice Stvari;vrijednost;wartość
Imenice Trgovina;trgovina;sklep
Imenice Škola;učenik;uczeń
Imenice Škola;učitelj;nauczyciel
Imenice Mjesta;knjižnica;biblioteka
Imenice Posao;rad;praca
Imenice Stvari;zadatak;zadanie
Imenice;razgovor;rozmowa
Imenice Raspoloženje;smijeh;śmiech
Hobi Imenice;emisija;program (telewizyjny)
Imenice Kuća;soba;pokój
Imenice Pokret Stvari;zrakoplov;samolot
Imenice Pokret Stvari;vlak;pociąg
Imenice Pokret Stvari;brod;statek
Imenice Kuća;stan;mieszkanie
Imenice Kuća Mjesta Priroda;vrt;ogród
Imenice Mjesta Škola;škola;szkoła
Imenice Mjesta;ulica;ulica
Imenice Stvari;most;most
Imenice Priroda;rijeka;rzeka
Imenice Priroda;jezero;jezioro
Imenice;osoba;osoba
Imenice;žena;kobieta
Imenice;muškarac;mężczyzna
Imenice Obitelj;prijateljica;przyjaciółka
Imenice;susjed;sąsiad
Imenice Škola;učiteljica;nauczycielka
Imenice Škola;student;student
Imenice;časopis;czasopismo
Imenice Stvari;računalo;komputer
Imenice Stvari;telefon;telefon
Imenice Stvari;televizija;telewizja
Imenice Stvari;radio;radio
Imenice Stvari;slika;obraz
Hobi Imenice;film;film
Hobi Imenice Stvari;video;wideo
Hobi Imenice;igra;gra
Imenice Sport;sport;sport
Imenice Sport;nogomet;piłka nożna
Imenice Sport;rukomet;piłka ręczna
Imenice Sport;plivanje;pływanie
Hobi Imenice Sport;trčanje;bieganie
Imenice Sport;biciklizam;kolarstwo
Imenice Sport;planinarenje;wędrówka górska
Hobi Imenice Sport;ribolov;wędkarstwo
Imenice Sport;lov;polowanie
Hobi Imenice;muzika;muzyka
Hobi Imenice;ples;taniec
Hobi Imenice;fotografija;fotografia
Hobi Imenice;umjetnost;sztuka
Hobi Imenice;kultura;kultura
Imenice;jezik;język
Imenice;literatura;literatura
Imenice;poezija;poezja
Imenice;proza;proza
Imenice;priča;opowieść, historia
Imenice;novela;nowela
Imenice;romantika;romans
Imenice;drama;dramat
Pridjevi;dobar;dobry
Pridjevi;loš;zły
Pridjevi;velik;duży
Pridjevi;mali;mały
Pridjevi;nov;nowy
Pridjevi;lijep;piękny
Pridjevi;pametan;mądry
Osobine Pridjevi;glup;głupi
Pridjevi;brz;szybki
Pridjevi;slab;słaby
Pridjevi;topao;ciepły
Pridjevi;hladan;zimny
Pridjevi;mokar;mokry
Hrana Pridjevi Priroda;suh;suchy
Pridjevi;tvrd;twardy
Pridjevi;mekan;miękki
Pridjevi;svijetao;jasny
Prilozi;taman;dosyć, akurat
Pridjevi;težak;ciężki
Pridjevi;lagan;lekki
Pridjevi;dug;długi
Pridjevi;kratak;krótki
Pridjevi;širok;szeroki
Pridjevi;uzak;wąski
Osobine Pridjevi;bogat;bogaty
Pridjevi Tijelo;zdrav;zdrowy
Pridjevi Tijelo;bolestan;chory
Higijena Pridjevi;čist;czysty
Higijena Pridjevi;prljav;brudny
Osobine Pridjevi Raspoloženje;tužan;smutny
Pridjevi;mlad;młody
Pridjevi Tijelo;star;stary
Osobine Pridjevi Raspoloženje;strašljiv;tchórzliwy
Pridjevi;mirisan;pachnący
Higijena Pridjevi;smrdljiv;śmierdzący
Hrana Pridjevi;sladak;słodki
Hrana Pridjevi;gorki;gorzki
Hrana Pridjevi;kiseo;kwaśny
Hrana Pridjevi;slani;słony
Osobine Pridjevi;tih;cichy
Pridjevi;glasan;głośny
Pridjevi;složen;skomplikowany
Pridjevi;važan;ważny
Pridjevi;nevažan;nieważny
Pridjevi;udoban;wygodny
Pridjevi;neugodan;niewygodny
Pridjevi;prijateljski;przyjazny
Pridjevi;neprijateljski;wrogi
Osobine Pridjevi;stran;obcy
Pridjevi;poznat;znany
Pridjevi;nepoznat;nieznany
Osobine Pridjevi Raspoloženje;sretan;szczęśliwy
Pridjevi Raspoloženje;nesretan;nieszczęśliwy
